id,label,parent.purl,entity.weight,entity.type
obo.BFO_0000002,continuant,BFO,0.5,obo.BFO_0000002
obo.BFO_0000004,independent continuant,BFO,0.3333333333333333,obo.BFO_0000002
obo.BFO_0000020,specifically dependent continuant,BFO,0.3333333333333333,obo.BFO_0000002
obo.BFO_0000031,generically dependent continuant,BFO,0.3333333333333333,obo.BFO_0000002
obo.BFO_0000040,material entity,BFO,0.25,obo.BFO_0000002
obo.BFO_0000023,role,BFO,0.2,obo.BFO_0000002
obo.BFO_0000019,quality,BFO,0.25,obo.BFO_0000002
obo.IAO_0000030,information content entity,IAO,0.25,obo.BFO_0000002
obo.IAO_0000178,material information bearer,IAO,0.2,obo.BFO_0000002
psdo.psdo_0000062,mark,psdo,0.16666666666666666,obo.BFO_0000002
psdo.psdo_0000006,represented dimension,psdo,0.16666666666666666,obo.BFO_0000002
psdo.psdo_0000060,mark length,psdo,0.14285714285714285,obo.BFO_0000002
psdo.psdo_0000008,relational information display component,psdo,0.2,obo.BFO_0000002
psdo.psdo_0000061,attribute,psdo,0.16666666666666666,obo.BFO_0000002
obo.BFO_0000017,realizable entity,BFO,0.25,obo.BFO_0000002
